,Area,Area Type,Car Parking,Flat Details,Floor Number,Furnished Status,Possession On,Posted By,Posted By Name,Posted Date,Price,Price/Sqft,Property Type
1571,2199 sqft,carpet area,1 Covered,"    4 BHK Apartment  for Sale in Lodha Belmondo, Mumbai Pune Hwy ",8 out of 24 floors,Unfurnished,Ready to Move,Certified Agent,Space Realty,"Mar 08, '18", 1.71 Cr,,New Property
1572,840 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Akshar Elementa, Wakad, Pimpri Chinchwad ",10 out of 15 floors,Semi-Furnished,Ready to Move,Certified Agent,Space Realty,"Mar 07, '18", 66.6 Lac,,New Property
1573,1135 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Akshar Elementa, Wakad, Pimpri Chinchwad ",9 out of 15 floors,Unfurnished,Ready to Move,Certified Agent,Space Realty,"Mar 08, '18", 89 Lac,,New Property
1574,638 sqft,super area,1 Covered,"    1 BHK Apartment  for Sale in Renuka Gulmohar Phase II, Pimpri Chinchwad ",1 out of 7 floors,Unfurnished,Ready to Move,Builder,Renuka Constructions,"Mar 08, '18", 55 Lac, 8621,New Property
1575,1180 sqft,super area,1 Covered,"    3 BHK Apartment  for Sale in Renuka Gulmohar Phase II, Pimpri Chinchwad ",1 out of 7 floors,Unfurnished,Possession by Nov '18,Builder,Renuka Constructions,"Mar 08, '18", 1.02 Cr, 8644,New Property
1576,985 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Ashok Meadows, Hinjewadi ",4 out of 11 floors,Unfurnished,Ready to Move,Certified Agent,Space Realty,"Mar 08, '18", 76 Lac,,Resale
1577,1111 sqft,carpet area,1 Covered,"    3 BHK Apartment  for Sale in Eon Homes, Hinjewadi ",1 out of 21 floors,Semi-Furnished,Ready to Move,Certified Agent,Space Realty,"Mar 08, '18", 90 Lac,,Resale
1578,805 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Megapolis Sunway, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi ",1 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Space Realty,"Mar 08, '18", 55 Lac,,Resale
1579,822 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Renuka Gulmohar Phase II, Pimpri Chinchwad ",1 out of 7 floors,Unfurnished,Ready to Move,Builder,Renuka Constructions,"Mar 08, '18", 68 Lac, 8273,New Property
1580,1310 sqft,super area,1 Covered,"    3 BHK Apartment  for Sale in Nirvana Zen, Viman Nagar ",1 out of 5 floors,Unfurnished,1 out of 5 floors,Builder,Nirvana Developers,"Dec 27, '17", 1.70 Cr, 12977,New Property
1581,807 sqft,super area,1 Covered,"    2 BHK Apartment  for Sale in Nirvana Zen, Viman Nagar ",2 out of 5 floors,Unfurnished,2 out of 5 floors,Builder,Nirvana Developers,"Dec 27, '17", 1.04 Cr, 12887,New Property
1582,800 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Stargaze, Bavdhan ",3 out of 12 floors,Unfurnished,Ready to Move,Certified Agent,Apna Ghar Lifespaces LLP,"Mar 06, '18", 71 Lac,,New Property
1583,699 sqft,carpet area,1 Covered,"    2 BHK Apartment  for Sale in Siddhashila Eela, Punawale, Pimpri Chinchwad ",8 out of 17 floors,Unfurnished,Ready to Move,Certified Agent,Space Realty,"Mar 08, '18", 46.1 Lac,,New Property
